practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
New Town Dental Practice,,"4 HENDERSON ROW, EDINBURGH",EH3 5DS,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
4 Howard Place,,"EDINBURGH, NA",EH3 5JZ,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
4 Inverleith Gardens,,"EDINBURGH, NA",EH3 5PU,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
25 Inverleith Row,,"EDINBURGH, NA",EH3 5QH,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
4 Great Stuart Street,,"EDINBURGH, NA",EH3 6AW,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ripple Dental,,"48-50 DUNDAS STREET, EDINBURGH",EH3 6JN,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ninetyfivedental,,"95 DUNDAS STREET, EDINBURGH",EH3 6SD,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
West End Dental & Implant Practice,,"24 STAFFORD STREET, EDINBURGH",EH3 7BD,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Edinburgh Dental Studio,,"6 RANDOLPH PLACE, EDINBURGH",EH3 7TE,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Haymarket Dental,,"264 MORRISON STREET, EDINBURGH",EH3 8DT,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
212-214 Morrison Street,,"EDINBURGH, NA",EH3 8EA,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
