"Dental_Practice_Code","address1","address2","address3","pc7","HB","HBQF","HSCP","HSCPQF","CA","CAQF","DataZone","DataZoneQF","Registrations","RegistrationsQF"
768,"HAMILTON ROAD DENTAL PRACTICE","168 HAMILTON ROAD","MOTHERWELL","ML1 3DW","S08000032","","S37000035","","S12000050","","S01011478","","10757",""
769,"AVONSMILES DENTAL","30 COMMON GREEN","STRATHAVEN","ML106AF","S08000032","","S37000028","","S12000029","","S01012688","","5155",""
770,"STRATHAVEN DENTAL","2 KIRK STREET","STRATHAVEN","ML106LE","S08000032","","S37000028","","S12000029","","S01012688","","2552",""
772,"LESMAHAGOW DENTAL","2 NEW TROWS ROAD","LESMAHAGOW","ML110EW","S08000032","","S37000028","","S12000029","","S01012645","","3567",""
774,"WATERLOO DENTAL PRACTICE","28 WATERLOO ROAD","LANARK","ML117PZ","S08000032","","S37000028","","S12000029","","S01012621","","3817",""
776,"KIRKMUIRHILL DENTAL","14A THORNTON ROAD","KIRKMUIRHILL","ML119QE","S08000032","","S37000028","","S12000029","","S01012651","","3257",""
777,"BIGGAR DENTAL PRACTICE","213 HIGH STREET","BIGGAR","ML126DJ","S08000032","","S37000028","","S12000029","","S01012578","","3721",""
778,"WISHAW DENTAL CLINIC","43 MAIN STREET","WISHAW","ML2 7AF","S08000032","","S37000035","","S12000050","","S01011395","","4294",""
779,"BELHAVEN DENTAL PRACTICE","HOULDSWORTH CENTRE,LEVEL 4","KENILWORTH AVE.,WISHAW","ML2 7LP","S08000032","","S37000035","","S12000050","","S01011401","","5883",""
780,"ARTHUR DENTAL CARE","207 MAIN STREET","WISHAW","ML2 7NE","S08000032","","S37000035","","S12000050","","S01011389","","5503",""
781,"STEWARTON STREET DENTAL","43 STEWARTON STREET","WISHAW","ML2 8AA","S08000032","","S37000035","","S12000050","","S01011396","","6006",""
782,"NEWMAINS DENTAL CARE","48 MANSE ROAD","NEWMAINS","ML2 9AX","S08000032","","S37000035","","S12000050","","S01011417","","6261",""
787,"HYLAND DENTAL SURGERY","6 PARK ROAD","HAMILTON","ML3 6PD","S08000032","","S37000028","","S12000029","","S01012725","","4260",""
788,"NEW CROSS DENTAL CARE","78 QUARRY STREET","HAMILTON","ML3 7AU","S08000032","","S37000028","","S12000029","","S01012717","","3462",""
790,"M & P DENTAL CARE","7 HIGH PATRICK STREET","HAMILTON","ML3 7ES","S08000032","","S37000028","","S12000029","","S01012717","","6921",""
791,"BURNBANK ROAD DENTAL PRACTICE","63 BURNBANK ROAD","HAMILTON","ML3 9AL","S08000032","","S37000028","","S12000029","","S01012792","","7065",""
793,"NORTH ROAD DENTAL","8 NORTH ROAD","BELLSHILL","ML4 1EN","S08000032","","S37000035","","S12000050","","S01011530","","13512",""
795,"BLAIRHILL DENTAL PRACTICE","1 BLAIRHILL STREET","COATBRIDGE","ML5 1PG","S08000032","","S37000035","","S12000050","","S01011582","","8470",""
796,"BANK STREET DENTAL CARE","169 BANK STREET","COATBRIDGE","ML5 1ET","S08000032","","S37000035","","S12000050","","S01011581","","5807",""
797,"COATBRIDGE FAMILY DENTAL CARE","22 ACADEMY STREET","COATBRIDGE","ML5 3AU","S08000032","","S37000035","","S12000050","","S01011596","","4325",""
798,"ACADEMY DENTAL PRACTICE","29 ACADEMY STREET","COATBRIDGE","ML5 3AW","S08000032","","S37000035","","S12000050","","S01011597","","3439",""
800,"LAGAN DENTAL CARE","1A LAIRD STREET","COATBRIDGE","ML5 3LJ","S08000032","","S37000035","","S12000050","","S01011595","","4160",""
803,"MARCUCCILLI DENTAL CARE","26 ANDERSON STREET","AIRDRIE","ML6 0AA","S08000032","","S37000035","","S12000050","","S01011654","","6931",""
804,"BROOMKNOLL DENTAL CARE","12 BROOMKNOLL STREET","AIRDRIE","ML6 6BN","S08000032","","S37000035","","S12000050","","S01011643","","11691",""
805,"F. DOLAN DENTAL","2 SOUTH BRIDGE STREET","AIRDRIE","ML6 6JF","S08000032","","S37000035","","S12000050","","S01011665","","5015",""
806,"CHAPELHALL DENTAL CARE","102 LAUCHOPE STREET","AIRDRIE","ML6 8SW","S08000032","","S37000035","","S12000050","","S01011623","","3989",""
809,"SHOTTS DENTAL PRACTICE","1 BURNBRAE ROAD","SHOTTS","ML7 5ED","S08000032","","S37000035","","S12000050","","S01011435","","3053",""
812,"THE TOOTH DOCTOR","79 KIRKTON STREET","CARLUKE","ML8 4AD","S08000032","","S37000028","","S12000029","","S01012614","","785",""
813,"CROSSHOUSE DENTAL SURGERY","4 LONDON STREET","LARKHALL","ML9 1AG","S08000032","","S37000028","","S12000029","","S01012664","","6325",""
814,"MACHAN DENTAL","18A MACHAN ROAD","LARKHALL","ML9 1HG","S08000032","","S37000028","","S12000029","","S01012660","","9103",""
816,"DEE DENTAL PAISLEY","5 COUNTY PLACE","PAISLEY","PA1 1BN","S08000031","","S37000024","","S12000038","","S01012127","","117",""
818,"HAPPY SMILES PAISLEY","6 ST MIRREN STREET","PAISLEY","PA1 1UA","S08000031","","S37000024","","S12000038","","S01012127","","7463",""
819,"MYDENTIST JOHNSTON STREET","1 JOHNSTON STREET","PAISLEY","PA1 1XQ","S08000031","","S37000024","","S12000038","","S01012131","","3792",""
820,"ABBEY DENTAL CARE","47 CAUSEYSIDE STREET","PAISLEY","PA1 1YN","S08000031","","S37000024","","S12000038","","S01012131","","5601",""
821,"FINESSE DENTAL CARE","63 CAUSEYSIDE STREET","PAISLEY","PA1 1YT","S08000031","","S37000024","","S12000038","","S01012128","","1141",""
822,"WELLMEADOW DENTAL PRACTICE","11 WELLMEADOW STREET","PAISLEY","PA1 2EF","S08000031","","S37000024","","S12000038","","S01012132","","3225",""
824,"HAPPY SMILES RALSTON","356 GLASGOW ROAD","PAISLEY","PA1 3BH","S08000031","","S37000024","","S12000038","","S01012142","","6532",""
825,"KELBURNE DENTAL PRACTICE","49 GLASGOW ROAD","PAISLEY","PA1 3PD","S08000031","","S37000024","","S12000038","","S01012137","","10796",""
826,"COMPLETE DENTISTRY","21/23 GLASGOW ROAD","PAISLEY","PA1 3QY","S08000031","","S37000024","","S12000038","","S01012134","","10603",""
827,"KILBARCHAN DENTAL PRACTICE","7 SHUTTLE STREET","KILBARCHAN","PA102JN","S08000031","","S37000024","","S12000038","","S01012034","","11063",""
828,"BRITE DENTAL - BRIDGE OF WEIR","KIRKINNER PLACE, MAIN STREET","BRIDGE OF WEIR","PA113AA","S08000031","","S37000024","","S12000038","","S01012238","","2835",""
829,"BLUE WATER DENTAL","69 HIGH STREET","LOCHWINNOCH","PA124AB","S08000031","","S37000024","","S12000038","","S01012020","","2013",""
832,"LYNTON HOUSE DENTAL PRACTICE","13A BROWN STREET","PORT GLASGOW","PA145BP","S08000031","","S37000017","","S12000018","","S01010910","","6685",""
834,"CROSSHILL DENTAL PRACTICE","1 CROSSHILL PLACE","PORT GLASGOW","PA145UF","S08000031","","S37000017","","S12000018","","S01010918","","9585",""
836,"ORANGEFIELD DENTAL PRACTICE","2 ORANGEFIELD PLACE","GREENOCK","PA151YX","S08000031","","S37000017","","S12000018","","S01010889","","2820",""
838,"ARDGOWAN DENTAL CARE","12A UNION STREET","GREENOCK","PA168JJ","S08000031","","S37000017","","S12000018","","S01010872","","7129",""
839,"FREDERICK DENTAL PRACTICE","11A UNION STREET","GREENOCK","PA168JL","S08000031","","S37000017","","S12000018","","S01010872","","12051",""
841,"DENTISTRY ON THE CLYDE","24 KEMPOCK STREET","GOUROCK","PA191NA","S08000031","","S37000017","","S12000018","","S01010842","","276",""
842,"WEIR&MCCLAFFERTY DENTAL CARE","GOUROCK MUNICIPAL BUILDINGS","122 SHORE ST, GOUROCK","PA191QZ","S08000031","","S37000017","","S12000018","","S01010842","","10502",""
844,"GLENBURN DENTAL PRACTICE","24 SKYE CRESCENT","PAISLEY","PA2 8EL","S08000031","","S37000024","","S12000038","","S01012102","","5637",""
845,"BUTE DENTAL SURGERY","14-16 WEST PRINCES STREET","ROTHESAY","PA209AF","S08000022","","S37000004","","S12000035","","S01007350","","3515",""
847,"THE HOLLIES DENTAL PRACTICE","143 ALEXANDRA PARADE","DUNOON","PA238AW","S08000022","","S37000004","","S12000035","","S01007363","","310",""
